,district,date,month,year,visitors
247,Peddapalli,01-08-2016,August,2016, 
248,Peddapalli,01-09-2016,September,2016, 
249,Peddapalli,01-10-2016,October,2016,950
250,Peddapalli,01-11-2016,November,2016,1145
251,Peddapalli,01-12-2016,December,2016,1149
252,Rajanna Sircilla ,01-01-2016,January,2016, 
253,Rajanna Sircilla ,01-02-2016,February,2016, 
254,Rajanna Sircilla ,01-03-2016,March,2016, 
255,Rajanna Sircilla ,01-04-2016,April,2016, 
256,Rajanna Sircilla ,01-05-2016,May,2016, 
257,Rajanna Sircilla ,01-06-2016,June,2016, 
258,Rajanna Sircilla ,01-07-2016,July,2016, 
259,Rajanna Sircilla ,01-08-2016,August,2016, 
260,Rajanna Sircilla ,01-09-2016,September,2016, 
261,Rajanna Sircilla ,01-10-2016,October,2016,534484
262,Rajanna Sircilla ,01-11-2016,November,2016,864077
263,Rajanna Sircilla ,01-12-2016,December,2016,778240
264,Ranga Reddy,01-01-2016,January,2016, 
265,Ranga Reddy,01-02-2016,February,2016, 
266,Ranga Reddy,01-03-2016,March,2016, 
267,Ranga Reddy,01-04-2016,April,2016, 
268,Ranga Reddy,01-05-2016,May,2016, 
269,Ranga Reddy,01-06-2016,June,2016, 
270,Ranga Reddy,01-07-2016,July,2016, 
271,Ranga Reddy,01-08-2016,August,2016, 
272,Ranga Reddy,01-09-2016,September,2016, 
273,Ranga Reddy,01-10-2016,October,2016, 
274,Ranga Reddy,01-11-2016,November,2016, 
275,Ranga Reddy,01-12-2016,December,2016, 
276,Sangareddy ,01-01-2016,January,2016, 
277,Sangareddy ,01-02-2016,February,2016, 
278,Sangareddy ,01-03-2016,March,2016, 
279,Sangareddy ,01-04-2016,April,2016, 
280,Sangareddy ,01-05-2016,May,2016, 
281,Sangareddy ,01-06-2016,June,2016, 
282,Sangareddy ,01-07-2016,July,2016, 
283,Sangareddy ,01-08-2016,August,2016, 
284,Sangareddy ,01-09-2016,September,2016, 
285,Sangareddy ,01-10-2016,October,2016,274000
286,Sangareddy ,01-11-2016,November,2016,349000
287,Sangareddy ,01-12-2016,December,2016,155000
288,Siddipet,01-01-2016,January,2016, 
289,Siddipet,01-02-2016,February,2016, 
290,Siddipet,01-03-2016,March,2016, 
291,Siddipet,01-04-2016,April,2016, 
292,Siddipet,01-05-2016,May,2016, 
293,Siddipet,01-06-2016,June,2016, 
294,Siddipet,01-07-2016,July,2016, 
295,Siddipet,01-08-2016,August,2016, 
296,Siddipet,01-09-2016,September,2016, 
297,Siddipet,01-10-2016,October,2016,123500
298,Siddipet,01-11-2016,November,2016,154400
299,Siddipet,01-12-2016,December,2016,80500
300,Suryapet,01-01-2016,January,2016, 
301,Suryapet,01-02-2016,February,2016, 
302,Suryapet,01-03-2016,March,2016, 
303,Suryapet,01-04-2016,April,2016, 
304,Suryapet,01-05-2016,May,2016, 
305,Suryapet,01-06-2016,June,2016, 
306,Suryapet,01-07-2016,July,2016, 
307,Suryapet,01-08-2016,August,2016, 
308,Suryapet,01-09-2016,September,2016, 
309,Suryapet,01-10-2016,October,2016,0
310,Suryapet,01-11-2016,November,2016,0
311,Suryapet,01-12-2016,December,2016,0
312,Vikarabad,01-01-2016,January,2016, 
313,Vikarabad,01-02-2016,February,2016, 
314,Vikarabad,01-03-2016,March,2016, 
315,Vikarabad,01-04-2016,April,2016, 
316,Vikarabad,01-05-2016,May,2016, 
